sentence_id,treatment,medical,treatment_first_index,treatment_last_index,medical_first_index,medical_last_index,sentence_text
5271535,TSN,experimental botulism,2,2,24,25,"Toosendanin ( TSN ) , a triterpenoid derivative extracted from a Chinese traditional medicine , has been demonstrated to be an effective cure for experimental botulism ."
5271535,a triterpenoid derivative,experimental botulism,5,7,24,25,"Toosendanin ( TSN ) , a triterpenoid derivative extracted from a Chinese traditional medicine , has been demonstrated to be an effective cure for experimental botulism ."
5893352,Surgical resection,neuroendocrine tumors,0,1,7,8,Surgical resection is the only cure for neuroendocrine tumors ( NETs ) .
13467526,tube tracheostomy,any particular disease,1,2,10,12,"Neither tube tracheostomy nor permanent tracheostomy is a cure for any particular disease ; however , both can be important for patients ' supportive or palliative care ."
13467526,permanent tracheostomy,any particular disease,4,5,10,12,"Neither tube tracheostomy nor permanent tracheostomy is a cure for any particular disease ; however , both can be important for patients ' supportive or palliative care ."
14801410,economic development,the psychological burden of lower SES,9,10,15,20,That evidence has elicited consternation because it suggests that economic development is no cure for the psychological burden of lower SES .
15039984,EO,human hypertrophic scarring,0,0,16,18,EO suppresses hypertrophic scarring in the rabbit ear model and is a probably effective cure for human hypertrophic scarring .
15654845,photocoagulation,diabetic retinopathy,1,1,6,7,"Although photocoagulation is no cure for diabetic retinopathy , it slows down or , in favourable cases , prevents further progression ."
19194287,Testosterone,elderly men,1,1,8,9,[ Testosterone is not a miracle cure for elderly men ] .
20511181,Radical resection,pancreatic malignancies,0,1,8,9,"Radical resection is the only potential cure for pancreatic malignancies and a useful treatment for other benign diseases , such as pancreatitis ."
20933212,Photocoagulation,diabetic macular edema,0,0,8,10,"Photocoagulation is not a "" cure "" for diabetic macular edema ; when used judiciously , however , it can sometimes further reduce visual loss caused by this common disease ."
21687501,Radical resection,pancreatic malignancies,0,1,8,9,"Radical resection is the only potential cure for pancreatic malignancies and a useful treatment for other benign diseases , such as pancreatitis ."
27116045,Orthotopic liver transplant,end,0,2,8,8,Orthotopic liver transplant is the only cure for end stage liver disease .
27116045,Orthotopic liver transplant,stage,0,2,9,9,Orthotopic liver transplant is the only cure for end stage liver disease .
28544305,a single oral or percutaneous administration of LPSw,multiple intractable diseases,3,10,16,18,"The realization that a single oral or percutaneous administration of LPSw may be a cure for multiple intractable diseases may lead to the presentation of a nontoxic type of Coley 's toxin , which is known to be an efficient cancer treatment , but has high toxicity ."
32762688,Hematopoietic stem cell transplantation,many malignant and nonmalignant diseases,0,3,12,16,Hematopoietic stem cell transplantation ( HSCT ) is the definitive cure for many malignant and nonmalignant diseases .
32762688,HSCT,many malignant and nonmalignant diseases,5,5,12,16,Hematopoietic stem cell transplantation ( HSCT ) is the definitive cure for many malignant and nonmalignant diseases .
38226449,articulated diet,all diet induced G.I disorders,4,5,14,18,It presupposes that well articulated diet and proper dietary manipulations remain the cure for all diet induced G.I disorders while avoidance of such habits that predispose to them must be encouraged to ensure proper and healthy G.I T.
39429224,heart transplantation,failing,9,10,19,19,Strategies to regenerate cardiac tissue postinjury are limited and heart transplantation remains the only ' cure ' for a failing heart .
40287739,Radical resection,malignant liver tumours,0,1,8,10,Radical resection is the only long-term cure for malignant liver tumours .
42408805,leukocyte transfusions,habitual abortion,15,16,27,28,"Because blocking antibody seems to be one of the necessary prerequisites for successful pregnancy , leukocyte transfusions from third-party donors ought to be an effective cure for habitual abortion in selected cases ."
42672702,the goal,the immediate future,5,6,1,3,"For the immediate future , the goal is not cure but slowing of the disease process ."
43544311,S-1/CPT-11 combination chemotherapy,unresectable progressive recurrent colorectal cancer,0,2,10,14,S-1/CPT-11 combination chemotherapy is a promising and effective cure for unresectable progressive recurrent colorectal cancer in future .
46300030,Hematopoietic stem cell transplantation,certain life-threatening malignant and nonmalignant diseases,0,3,9,14,Hematopoietic stem cell transplantation is a potential cure for certain life-threatening malignant and nonmalignant diseases .
46626399,cardiac transplantation,end-stage disease,1,2,11,12,"While cardiac transplantation remains the only true "" cure "" for end-stage disease , this resource is limited and the demand continues to far outpace the supply ."
49212220,intraocular injection of the recombination of adeno-associated virus,Leber 's Congenital Amaurosis,11,18,29,32,"The result of a clinical trial launched in 2007 indicated that intraocular injection of the recombination of adeno-associated virus and target gene is an effective and safe cure for Leber 's Congenital Amaurosis ( LCA ) , which brings hope of treating other hereditary eye diseases with gene therapy ."
56114195,Hydroxychloroquine,clinical course,0,0,10,11,Hydroxychloroquine is no miracle cure for covid-19 infection -imaging and clinical course in an elderly female .
56244460,SCT,underlying,11,11,19,19,"For patients surviving LPD , myeloablative hematopoietic stem cell transplantation ( SCT ) was the only cure for the underlying PID , with a high risk of developing posttransplantation complications , including recurrent lymphoproliferative disease ."
57997993,Transplantation,fulminant forms,0,0,5,6,Transplantation is the cure for fulminant forms .
60154404,Bone marrow transplantation,the hematologic manifestations of Fanconi anemia,0,2,12,17,Bone marrow transplantation ( BMT ) is the only known cure for the hematologic manifestations of Fanconi anemia ( FA ) .
60154404,BMT,the hematologic manifestations of Fanconi anemia,4,4,12,17,Bone marrow transplantation ( BMT ) is the only known cure for the hematologic manifestations of Fanconi anemia ( FA ) .
60926981,His main stock,ocular diseases,0,2,14,15,"His main stock in trade was a self-discovered absorption cure for a variety of ocular diseases , with particular emphasis on the medical cure of cataracts ."
65779405,Penile microvascular revascularization,all impotent men,0,2,9,11,Penile microvascular revascularization is not the best cure for all impotent men but appears to have a place in the treatment for selected patients with vasculogenic impotence .
66090634,Patient-centeredness,the incredible shrinking patient,0,0,13,16,"Patient-centeredness is that singular truth for healthcare and is the only cure for the incredible shrinking patient , who is being diminished by powers far stronger than it ."
67927494,radical resection of the lesions,the gastrointestinal NENs,4,8,14,16,"Up to now , radical resection of the lesions is the only cure for the gastrointestinal NENs ."
68530871,eculizumab,Paroxysmal nocturnal hemoglobinuria,20,20,26,28,"The treatment of paroxysmal nocturnal hemoglobinuria has been revolutionized by the introduction of the anti-C5 agent eculizumab ; however , eculizumab is not the cure for Paroxysmal nocturnal hemoglobinuria ( PNH ) , and room for improvement remains ."
69371819,Acid evacuation,recurrent ulcer,0,1,12,13,Acid evacuation in time is also a major cure for gastritis and recurrent ulcer .
