sentence_id,treatment,medical,treatment_first_index,treatment_last_index,medical_first_index,medical_last_index,sentence_text
306226,PCa therapy,the entire gland,3,4,8,10,This explains why PCa therapy today treats always the entire gland .
651601,the variational approach,the on-site interaction term,13,15,22,25,"The phase diagrams and thermodynamic properties of this model have been determined within the variational approach ( VA ) , which treats the on-site interaction term exactly and the intersite interactions within the mean-field approximation ."
651601,VA,the on-site interaction term,17,17,22,25,"The phase diagrams and thermodynamic properties of this model have been determined within the variational approach ( VA ) , which treats the on-site interaction term exactly and the intersite interactions within the mean-field approximation ."
651601,the variational approach,the intersite interactions,13,15,28,30,"The phase diagrams and thermodynamic properties of this model have been determined within the variational approach ( VA ) , which treats the on-site interaction term exactly and the intersite interactions within the mean-field approximation ."
651601,VA,the intersite interactions,17,17,28,30,"The phase diagrams and thermodynamic properties of this model have been determined within the variational approach ( VA ) , which treats the on-site interaction term exactly and the intersite interactions within the mean-field approximation ."
1080922,Intracoronary stenting,two frequent complications,0,1,12,14,"Intracoronary stenting reduces restenosis rates and effectively treats abrupt vessel closure , two frequent complications following percutaneous coronary angioplasty ( PTCA ) ."
1080922,Intracoronary stenting,abrupt vessel closure,0,1,8,10,"Intracoronary stenting reduces restenosis rates and effectively treats abrupt vessel closure , two frequent complications following percutaneous coronary angioplasty ( PTCA ) ."
1250670,the simplest theoretical framework,emergent spin,3,6,12,13,"Here we present the simplest theoretical framework that treats the dynamics of emergent spin and charge excitations on the same footing , providing a new physical picture of the Mott metal-to-insulator transition at half filing ."
1621507,the clinical specialty,the toxic effects of substances,3,5,8,12,"Medical toxicology is the clinical specialty that treats the toxic effects of substances , for example , an overdose , a medication error , or a scorpion sting ."
1967441,This network thermodynamic model of kidney proximal tubule epithelium,coupled,0,8,10,10,This network thermodynamic model of kidney proximal tubule epithelium treats coupled salt and water flow across each component membrane of the epithelium .
1982218,this nonlinear control strategy,the neural network,6,9,11,13,"Implemented as a learning algorithm , this nonlinear control strategy treats the neural network as a controlled system and allows a stable , dynamic calculation of the learning rates ."
2132790,a decision structure,reasonable practice,3,5,8,9,This column outline a decision structure that treats reasonable practice and the patient 's wishes as combining to determine whether or not clinical interventions should proceed .
2269799,a one-loop-dressed strong coupling theory,the multivalent counterions,2,6,18,20,We develop a one-loop-dressed strong coupling theory that treats the monovalent salt at the electrostatic one-loop level and the multivalent counterions within a strong-coupling approach .
2269799,a one-loop-dressed strong coupling theory,the monovalent salt,2,6,9,11,We develop a one-loop-dressed strong coupling theory that treats the monovalent salt at the electrostatic one-loop level and the multivalent counterions within a strong-coupling approach .
2319346,a mathematical model,the viable sublayers of unwounded human and murine epidermis,1,3,6,14,"Using a mathematical model that treats the viable sublayers of unwounded human and murine epidermis as porous media and assumes that their calcium profiles are passively regulated , we demonstrate that these profiles are also actively regulated ."
2352796,pulse LCAP,the usual volume of 3000 mL,17,18,29,34,"In advance of its clinical application , the possible clinical usefulness of large volumes of LCAP ( pulse LCAP ) , which treats 5000 mL of blood rather than the usual volume of 3000 mL , was investigated in healthy subjects ."
2762701,a novel trait-based approach,local and regional influences,4,7,10,13,"Here , we implemented a novel trait-based approach that treats local and regional influences as a continuum , rather than a dichotomy ."
2973094,SO,part-whole relationships,1,1,3,4,"Because SO treats part-whole relationships rigorously , data described with it can become substrates for automated reasoning , and instances of sequence features described by the SO can be subjected to a group of logical operations termed extensional mereology operators ."
3399558,The community nurse,minor ailments,0,2,20,21,"The community nurse pays attention to the protection of the mentally retarded individual 's health , and identifies and treats minor ailments encountered by the mentally retarded individual ."
3430674,Percutaneous transcatheter aortic valve closure,left ventricular assist device-associated aortic insufficiency,0,4,7,12,Percutaneous transcatheter aortic valve closure successfully treats left ventricular assist device-associated aortic insufficiency and improves cardiac hemodynamics .
3430694,Percutaneous transcatheter closure of the aortic valve,LVAD-associated AI,0,6,9,10,Percutaneous transcatheter closure of the aortic valve effectively treats LVAD-associated AI and reduces pulmonary capillary wedge pressure .
3556045,botulinum toxin A ( BTXA ) injection,epiphora secondary,9,15,17,18,The aim of this study was to explore whether botulinum toxin A ( BTXA ) injection treats epiphora secondary to submandibular gland ( SMG ) transplantation for severe keratoconjunctivitis sicca .
3770705,restoration of perfusion,the physiologic dysfunction,4,6,14,16,"It is evident that restoration of perfusion in shock treats only a portion of the physiologic dysfunction , leaving major metabolic derangements uncorrected ."
