sentence_id,treatment,medical,treatment_first_index,treatment_last_index,medical_first_index,medical_last_index,sentence_text
3458064,The crown lengthening procedure,a difficult restorative problem,0,3,11,14,The crown lengthening procedure is a simple and time-saving remedy for a difficult restorative problem .
5591655,the treatment of HEE,the adverse effect,7,10,17,19,The results of our experiment suggest that the treatment of HEE may be the critical remedy for the adverse effect of CCl₄in heart function .
6002129,surgical extirpation,pituitary adenomas,1,2,11,12,"Although surgical extirpation by transsphenoidal microsurgery is a major remedy for pituitary adenomas , adjuvant therapy also plays an important role in achieving tumor growth control and endocrine normalization in hormone-secreting tumors ."
8867255,Pedicle-screw-rod fixation system,degenerative disc disease,0,2,9,11,Pedicle-screw-rod fixation system is very popular surgical remedy for degenerative disc disease .
11173662,PDVA,female survivors of intimate partner violence,17,17,26,31,"More than a decade after its passing , Sri Lanka 's Prevention of Domestic Violence Act ( PDVA ) remains a remedy of last resort for female survivors of intimate partner violence , as there is little support to take on a rights-defined identity as a battered woman both inside and outside the courtroom ."
11173662,Sri,female survivors of intimate partner violence,8,8,26,31,"More than a decade after its passing , Sri Lanka 's Prevention of Domestic Violence Act ( PDVA ) remains a remedy of last resort for female survivors of intimate partner violence , as there is little support to take on a rights-defined identity as a battered woman both inside and outside the courtroom ."
11173662,Lanka 's Prevention of Domestic Violence Act,female survivors of intimate partner violence,9,15,26,31,"More than a decade after its passing , Sri Lanka 's Prevention of Domestic Violence Act ( PDVA ) remains a remedy of last resort for female survivors of intimate partner violence , as there is little support to take on a rights-defined identity as a battered woman both inside and outside the courtroom ."
13191608,ambulatory patients groups,current health care providers,16,18,25,28,"Concludes that in the ongoing efforts to move towards full-managed care in the not-so-distant future , ambulatory patients groups are another potential cost-cutting remedy for current health care providers and that future research into this issue is a must for public policy makers ."
14353700,His preference for parks,industrialized,0,3,15,15,His preference for parks was a political and physical response to and remedy for the industrialized and heavily congested city he called home .
20703875,physical activity,poor sleep,7,8,17,18,Both lay and scientific opinions hold that physical activity is an efficient remedy and preventative measure for poor sleep .
24256781,a group III steroid solution,external otitis,6,10,18,19,"In view of these observations , a group III steroid solution ought to be the preferred remedy for external otitis , whether infected or not ."
25418258,Reduction mammaplasty,physical and psychological problems,28,29,37,40,"Compared with preoperative scores , major improvement was still found for all sub-scales ( p < 0.05 to p < 0.001 ) except "" role physical . "" Reduction mammaplasty is an efficient remedy for pain and physical and psychological problems associated with macromastia ."
27295765,drinking,metabolic syndrome,19,19,26,27,Beneficial effects of ethanol consumption on insulin resistance are only applicable to subjects without obesity or insulin resistance ; drinking is not necessarily a remedy for metabolic syndrome .
28032633,this combination,diabetic control,5,6,13,14,These novel findings support that this combination is a more powerful remedy for diabetic control .
28830831,these clips,noninfective sternal dehiscence,8,9,15,17,We sought to determine whether the use of these clips is an effective remedy for noninfective sternal dehiscence .
30076830,Secukinumab,systemic amyloidosis findings secondary,0,0,5,8,Secukinumab may be remedy for systemic amyloidosis findings secondary to hidradenitis suppurativa .
31003600,minocycline,human inflammatory bowel diseases,2,2,8,11,"Therefore , minocycline is a potential remedy for human inflammatory bowel diseases ."
33179209,sunlight,nappy rash,35,35,41,42,Thirty-six per cent were in favour of using sunlight to treat neonatal jaundice ; 20.2 % believed it was necessary to intentionally sun their baby to prevent vitamin D deficiency ; and 10.5 % thought sunlight was a good remedy for nappy rash .
35339593,the pandemic,the global social and economic disruption,18,19,10,15,Safe and effective vaccines are considered the ultimate remedy for the global social and economic disruption caused by the pandemic .
38954744,melatonin,gastric ulcers,27,27,36,37,"This study documents for the first time that induction of MMP-9 and -3 activities accompany NSAID-induced inflammation and oxidative stress in gastric tissues and indicates that , melatonin may be a preventive or therapeutic remedy for gastric ulcers ."
39039489,an injection of BSS,postoperative hypotony of unknown etiology,3,6,18,22,We conclude that an injection of BSS into the anterior chamber is an inexpensive and efficacious remedy for postoperative hypotony of unknown etiology .
39656932,CRHF,fatty liver disease,7,7,15,17,"Taken together , these results suggest that CRHF might be a novel therapeutic remedy for fatty liver disease through the selective inhibition of the lipogenic pathway ."
45312387,Strobilanthes crispus,many ailments,0,1,7,8,Strobilanthes crispus is a traditional remedy for many ailments including cancer .
48247035,harmonization,marked differences,3,3,12,13,I discuss how harmonization may be a remedy for the gaps and marked differences of approach in data privacy regulation .
48727145,curcumin,musculoskeletal disease,1,1,7,8,"Because curcumin is a common remedy for musculoskeletal disease , effects of microenvironmental changes consequent to skeletal development or disease on bone curcumin metabolism are explored ."
49317542,The medicinal mushroom Inonotus obliquus,a long time,0,4,11,13,The medicinal mushroom Inonotus obliquus has been a folk remedy for a long time in East-European and Asian countries .
50933730,Iontophoresis,palmar and plantar HH,0,0,6,9,Iontophoresis is the primary remedy for palmar and plantar HH .
51548613,L-arginine,CDDP-induced renal toxicity,3,3,10,12,"In addition , L-arginine may be a beneficial remedy for CDDP-induced renal toxicity , and could be used to improve the therapeutic index of CDDP ."
51722639,"a large-scale , preregistered replication project",the adverse effects of experimenter bias,28,33,44,49,"We argue that a conclusive resolution of the debate about the effect of religious priming on prosocial behavior - and about theoretically disputed effects more generally - requires a large-scale , preregistered replication project , which we consider to be the sole remedy for the adverse effects of experimenter bias and publication bias ."
60401122,Lactulose,hepatic encephalopathy,0,0,6,7,"Lactulose is an established remedy for hepatic encephalopathy and shows efficacy for chronic renal insufficiency , reducing volume overload , uremia and hyperkalemia ."
61115842,Ginkgo biloba,cognitive disorders,0,1,15,16,Ginkgo biloba ( Gb ) is currently the most investigated and adopted herbal remedy for cognitive disorders and Alzheimer 's disease ( AD ) .
61115842,Gb,cognitive disorders,3,3,15,16,Ginkgo biloba ( Gb ) is currently the most investigated and adopted herbal remedy for cognitive disorders and Alzheimer 's disease ( AD ) .
62835613,rhein,fibrotic and/or PSC-related pathologies,6,6,13,16,"With strong anti-fibrotic effects provided , rhein can be a potential remedy for fibrotic and/or PSC-related pathologies in the pancreas ."
62965757,this treatment,acute migraine pain,12,13,20,22,Exploratory trials testing the efficacy of KOS on migraine patients indicated that this treatment could be a fast-acting remedy for acute migraine pain .
64922687,hyperbaric oxygen,selected,3,4,12,12,Results suggest that hyperbaric oxygen might be a new remedy for the selected cases of non-arteritic ischaemic optic neuropathy and call for a controlled clinical study aiming to accurately assess its efficacy .
65906286,A combinatorial broad-spectrum antibiotic/corticosteroid ear drop,bacterial inflammation,0,5,12,13,"A combinatorial broad-spectrum antibiotic/corticosteroid ear drop is the most effective remedy for bacterial inflammation , whereas the most important therapeutic procedure in fungal infections is cleaning and topical medication ."
67520812,Compensation,diabetic kidney injury,0,0,12,14,Compensation for the loss of VC could be an effective remedy for diabetic kidney injury .
74270345,Orthotopic liver transplantation,end-stage liver disease,0,2,13,15,Orthotopic liver transplantation ( OLT ) continues to be the only remedy for end-stage liver disease .
74270345,OLT,end-stage liver disease,4,4,13,15,Orthotopic liver transplantation ( OLT ) continues to be the only remedy for end-stage liver disease .
82109849,St John 's wort,mild depression,0,3,16,17,"St John 's wort ( SJW ) , Hypericum perforatum , is a common remedy for mild depression , a problem prevalent in this population ."
82109849,SJW,mild depression,5,5,16,17,"St John 's wort ( SJW ) , Hypericum perforatum , is a common remedy for mild depression , a problem prevalent in this population ."
82109849,Hypericum perforatum,mild depression,8,9,16,17,"St John 's wort ( SJW ) , Hypericum perforatum , is a common remedy for mild depression , a problem prevalent in this population ."
86064972,The traditional Chinese herbal formula Ling-Gui-Zhu-Gan decoction,SGAs-induced MetS,0,6,16,17,"The traditional Chinese herbal formula Ling-Gui-Zhu-Gan decoction ( LGZGD ) is a clinically validated remedy for SGAs-induced MetS , but its underlying mechanism remains unclear ."
86064972,LGZGD,SGAs-induced MetS,8,8,16,17,"The traditional Chinese herbal formula Ling-Gui-Zhu-Gan decoction ( LGZGD ) is a clinically validated remedy for SGAs-induced MetS , but its underlying mechanism remains unclear ."
96219180,Civil protective orders,intimate partner violence,0,2,15,17,"Civil protective orders ( CPOs ) are the most widely used justice system remedy for intimate partner violence ( IPV ) , and were implemented to ensure safety and increase victim participation in the justice system ."
96219180,CPOs,intimate partner violence,4,4,15,17,"Civil protective orders ( CPOs ) are the most widely used justice system remedy for intimate partner violence ( IPV ) , and were implemented to ensure safety and increase victim participation in the justice system ."
97073318,Angiotensin II receptor blocker,metabolic syndrome,0,3,9,10,Angiotensin II receptor blocker is a renoprotective remedy for metabolic syndrome .
101370231,a computerized expert system,existing,3,6,20,20,"In addition , a computerized expert system focused on rural physicians ' information needs is a possible remedy for the existing problem ."
103177310,Botulinum toxin,Benign Essential Blepharospasm,0,1,7,9,"Botulinum toxin is a useful remedy for Benign Essential Blepharospasm ( BEB ) , although the effects are short term and repeated applications are required which is quite costly for the patient ."
103564627,osteoclast inhibition,infectious OMJ,6,7,14,15,"However , our finding suggests that osteoclast inhibition is potentially an effectual remedy for infectious OMJ in antiresorptive-naïve patients ."
104716880,Ankaferd hemostat,the mucosal management of COVID-19,4,5,35,39,"In this context , Ankaferd hemostat ( Ankaferd Blood Stopper , ABS ) which is an already approved hemostatic agent affecting via vital erythroid aggregation and fibrinogen gamma could be a potential topical remedy for the mucosal management of COVID-19 ."
104716880,Ankaferd Blood Stopper,the mucosal management of COVID-19,7,9,35,39,"In this context , Ankaferd hemostat ( Ankaferd Blood Stopper , ABS ) which is an already approved hemostatic agent affecting via vital erythroid aggregation and fibrinogen gamma could be a potential topical remedy for the mucosal management of COVID-19 ."
105043171,GTE,ocular treatment,0,0,9,10,GTE could be a more promising antineovascularization remedy for ocular treatment .
107015383,CR treatment,menopausal symptoms in breast cancer,22,23,32,36,"Such data that suggest a non-estrogenic , or estrogen-antagonistic effect of CR on human breast cancer cells lead to the conclusion that CR treatment may be a safe , natural remedy for menopausal symptoms in breast cancer ."
107817252,Tithonia tubaeformis,established CIPN,0,1,10,11,Tithonia tubaeformis can be an effective CAM therapeutic remedy for established CIPN due to its potential antinociceptive effect in attenuating vincristine-induced neuropathy .
110266987,Anti-VEGF treatment,the latter type of AMD,0,1,7,11,"Anti-VEGF treatment is an effective remedy for the latter type of AMD ; however , it is not a curative therapy ."
110751337,Fecal microbiota transplantation,severe illness,0,2,12,13,Fecal microbiota transplantation ( FMT ) had been an ancient remedy for severe illness several centuries ago .
110751337,FMT,severe illness,4,4,12,13,Fecal microbiota transplantation ( FMT ) had been an ancient remedy for severe illness several centuries ago .
120958053,stocking or harvesting of one of the species,diffusional instability,9,16,25,26,The implicit function theorem is used to determine whether stocking or harvesting of one of the species in the model is the appropriate remedy for diffusional instability .
121021259,The herb feverfew,various conditions,0,2,8,9,"The herb feverfew is a folk remedy for various conditions , including inflammation , fever , psoriasis , rheumatism , and asthma ."
125342536,Photodynamic therapy,patients with acne vulgaris resistant,0,1,7,11,"Photodynamic therapy is an emerging remedy for patients with acne vulgaris resistant to standard treatment , particularly in patients with skin of color who are more sensitive to post-inflammatory hyperpigmentation ."
128112862,A look,misplaced nostalgia,0,1,13,14,A look back at nursing 's recent past is a good remedy for misplaced nostalgia .
128521452,CHD-FA,drug-resistant wound infections,0,0,7,9,CHD-FA is a promising topical remedy for drug-resistant wound infections .
130360635,Garcinia buchananii bark extract,abdominal discomfort,0,3,14,15,"Garcinia buchananii bark extract is a traditional African remedy for diarrhea , dysentery , abdominal discomfort , and pain ."
130967324,this new combination therapy of Tat-MT delivery with low dose immunosuppressant,successful outcome of islet xenotransplantation,2,12,19,23,"Collectively , this new combination therapy of Tat-MT delivery with low dose immunosuppressant would be a powerful remedy for successful outcome of islet xenotransplantation ."
131624761,OS,noise induced biogenic amine alterations,3,3,11,15,This indicates that OS can be a probable herbal remedy for noise induced biogenic amine alterations .
132738383,Dietary salt reduction,mild hypertension,0,2,9,10,Dietary salt reduction is an important nonpharmacologic remedy for mild hypertension as well as a useful adjunct to drug treatment .
138418153,Cryopreservation,isolated,0,0,7,7,"Cryopreservation is often an effective remedy for isolated cells , for example haemopoietic stem cells , but the damaging effects of the formation of ice are sufficient to rule out this approach for whole vascularised organs and for some tissues too ."
142973791,Sweet potato diets,fatty broilers,0,2,8,9,Sweet potato diets may be a remedy for fatty broilers .
144664930,The ITT approach,unsound design,0,2,8,9,"The ITT approach is not a remedy for unsound design , and imputation of missing values is not a substitute for complete , good quality data ."
144837964,Tissue-engineered skin substitutes,chronic wounds,0,2,12,13,"Tissue-engineered skin substitutes may be a future remedy for burn wounds and chronic wounds , as wound contraction and scar formation can not be prevented with the current standard treatment ."
144974167,This essential oil,many skin diseases,0,2,8,10,"This essential oil is a popular remedy for many skin diseases , and may be used as neat oil or be present in cosmetics , topical pharmaceuticals and household products ."
145038432,IVIg,several autoimmune diseases,1,1,10,12,"Because IVIg is basically an established remedy for immunodeficiencies and several autoimmune diseases , the association between beneficial effects in cancer patients after IVIg was first seen in patients who had both cancer and autoimmune or immunodeficiency diseases ."
153464448,Percutaneous ablation of the cervical spinothalamic tract,intractable cancer pain,0,6,15,17,Percutaneous ablation of the cervical spinothalamic tract ( STT ) remains a therapeutic remedy for intractable cancer pain .
153464448,STT,intractable cancer pain,8,8,15,17,Percutaneous ablation of the cervical spinothalamic tract ( STT ) remains a therapeutic remedy for intractable cancer pain .
159458181,taurine,neuropathic pain,4,4,11,12,These findings suggest that taurine may be a candidate remedy for neuropathic pain .
163840855,Quinine sulfate,idiopathic nocturnal leg cramps,0,1,8,11,"Quinine sulfate is a commonly prescribed remedy for idiopathic nocturnal leg cramps and is now available "" over the counter . "" A 24-year-old man ingested 8 g ( a commonly dispensed quantity ) of quinine sulfate in a suicide attempt ."
168703860,Employee leasing,the tremendous financial burden of employee pension costs,0,1,8,15,Employee leasing can be a practical remedy for the tremendous financial burden of employee pension costs and bring many other benefits to everyone involved as well .
169657083,IM,periodontal disease,6,6,13,14,"Therefore , it is plausible that IM is a promising preventive remedy for periodontal disease ."
169766406,treatment,pulmonary sarcoidosis,3,3,17,18,We propose that treatment targeting indigenous P. acnes in the lung may be a possible remedy for pulmonary sarcoidosis .
174580875,Caesalpiniaceae,gynaecological disorders,5,5,13,14,"Saraca asoca Linn . ( Caesalpiniaceae ) is an important traditional remedy for gynaecological disorders and it contains lyoniside , an aryl tetralin lignan glycoside ."
175647076,TiO2-NPs addition,"the long-term operation of algal-bacterial granular system , most probably attributable",58,59,66,76,"TiO2-NPs addition to RT was found to enhance the granulation process achieving stable and compact algal-bacterial granules with remarkably improved nitratation thus little nitrite accumulation in RT when influent TiO2-NPs⩾30mg/L. Despite almost similar organics and phosphorus removals obtained in both reactors , the stably high nitratation efficiency in addition to much stable granular structure in RT suggests that TiO2-NPs addition might be a promising remedy for the long-term operation of algal-bacterial granular system , most probably attributable to the stimulated excretion of extracellular polymeric substances and less filamentous TM7 ."
177733221,W27 IgA oral treatment,inflammatory bowel disease,2,5,11,13,"Thus , W27 IgA oral treatment is a potential remedy for inflammatory bowel disease , acting through restoration of host-microbial symbiosis ."
179185235,BCGE,the post-infection treatment of chronic osteomyelitis,2,2,10,15,"Therefore , BCGE is a potential adjuvant herbal remedy for the post-infection treatment of chronic osteomyelitis ."
