sentence_id,treatment,medical,treatment_first_index,treatment_last_index,medical_first_index,medical_last_index,sentence_text
791478,herbs,various ailments,2,2,11,12,Women use herbs and other traditional and complementary modalities to treat various ailments throughout their life circle .
791478,other traditional and complementary modalities,various ailments,4,8,11,12,Women use herbs and other traditional and complementary modalities to treat various ailments throughout their life circle .
4103059,history,two significant medical emergencies,1,1,10,13,Use history & physical exam clues to differentiate & treat two significant medical emergencies .
4103059,physical exam clues,two significant medical emergencies,3,5,10,13,Use history & physical exam clues to differentiate & treat two significant medical emergencies .
4941896,medicinal plants,various infections,5,6,9,10,"Many communities in Uganda use medicinal plants to treat various infections , including respiratory tract infections ."
6115644,intravenous opioids,moderate and severe pain in the hospital setting,6,7,10,17,"While we continue to use primarily intravenous opioids to treat moderate and severe pain in the hospital setting , future formulations and developments may allow for the increased use of non-parenteral routes ."
11525819,the fewest-switches surface hopping ( FSSH ) algorithm,quantum transitions,2,9,12,13,We use the fewest-switches surface hopping ( FSSH ) algorithm to treat quantum transitions among multiple adiabatic excited state potential energy surfaces ( PESs ) .
12775773,complementary therapies,their mental condition,68,69,72,74,"Persons reporting transient stress or adjustment disorders were most likely ( odds ratio , 9.1 % ; 95 % confidence interval , 5.5%-12.7 % ) , and those with psychotic ( odds ratio , 1.5 % ; 95 % confidence interval , 0.0%-4.2 % ) and affective ( odds ratio , 2.6 % ; 95 % confidence interval , 1.5%-3.8 % ) conditions least likely , to use complementary therapies to treat their mental condition ."
13393749,nature gardens,stress-related illnesses,5,6,9,10,Are we ready to use nature gardens to treat stress-related illnesses ?
13804412,direct oral anticoagulants,cancer-associated venous thromboembolism,3,5,8,10,Can I use direct oral anticoagulants to treat cancer-associated venous thromboembolism ?
14867590,alternative therapies,hot flushes,3,4,7,8,Many women use alternative therapies to treat hot flushes and other menopausal symptoms .
16273421,methotrexate,these two important gynaecological conditions,11,11,15,19,This article reviews the development of modern treatment protocols that use methotrexate to medically treat these two important gynaecological conditions .
16568308,AZM-SR,gonococcal infections,13,13,16,17,"Because no other drug is effective , it is currently necessary to use AZM-SR to treat gonococcal infections caused by ceftriaxone-resistant strains or patients allergic to ceftriaxone ."
16568309,AZM-SR,normal cases of gonococcal infection,14,14,17,21,"To prevent a further increase in resistance to AZM , we should not use AZM-SR to treat normal cases of gonococcal infection ."
17456042,a holistic approach,altered functional ability,4,6,9,11,Rehabilitation nurses should use a holistic approach to treat altered functional ability and help individuals adjust to lifestyle changes associated with chronic illness and/or disability .
20204324,atypical antipsychotics,nonpsychotic anxiety,3,4,7,8,Should psychiatrists use atypical antipsychotics to treat nonpsychotic anxiety ?
